# Function names imported by Shadow Fight 2 .s3e from the Marmalade loader
# Source: ShadowFight2.bin offset 0x1529..0x2bbf
# Total: 346 entries (filtered to valid C identifiers only)
# Format: <offset> <name>

0x000026d4 s3eDeviceExit
0x000026e2 s3eSoundGetError
0x000026f3 glLightfv
0x000026fd s3eFileDelete
0x0000270b glBindVertexArray
0x0000271d s3eAccelerometerGetX
0x00002732 glFramebufferTextureLayer
0x0000274c s3eInetHtons
0x00002759 glGenQueries
0x00002766 s3eSocketConnect
0x00002777 glBindAttribLocation
0x0000278c glBufferData
0x00002799 glLightx
0x000027a2 s3eAudioRegister
0x000027b3 glAttachShader
0x000027c2 s3eSocketSend
0x000027d0 glUniform1iv
0x000027dd glTexStorage3D
0x000027ec glSampleMaski
0x000027fa glFogx
0x00002801 glVertexAttribPointer
0x00002817 glGetError
0x00002822 s3eDebugAssertShow
0x00002835 glEnableVertexAttribArray
0x0000284f s3eInetLookup
0x0000285d s3eDeviceGetInt
0x0000286d s3eKeyboardSetInt
0x0000287f eglSwapBuffers
0x0000288e glTexCoordPointer
0x000028a0 s3eCompressionDecompFinal
0x000028ba s3eFileEOF
0x000028c5 eglGetError
0x000028d1 eglGetCurrentSurface
0x000028e6 s3eFileSeek
0x000028f2 glTexParameteriv
0x00002903 s3eSoundGetFreeChannel
0x0000291a s3eSoundResumeAllChannels
0x00002934 glTexEnvi
0x0000293e glCreateShader
0x0000294d glTexEnvfv
0x00002958 glBindTransformFeedback
0x00002970 s3eSurfaceRegister
0x00002983 glCompileShader
0x00002993 eglTerminate
0x000029a0 s3eVideoIsPlaying
0x000029b2 glClipPlanex
0x000029bf glColor4f
0x000029c9 glDepthRangef
0x000029d7 glLineWidthx
0x000029e4 s3eAccelerometerStop
0x000029f9 glBindVertexBuffer
0x00002a0c glDeleteTextures
0x00002a1d s3eDeviceYieldUntilEvent
0x00002a36 s3eFileOpen
0x00002a42 glBindBuffer
0x00002a4f glDisableVertexAttribArray
0x00002a6a s3eKeyboardRegister
0x00002a7e s3eSurfaceShow
0x00002a8d s3eGLUnRegister
0x00002a9d s3eDeviceRegister
0x00002aaf s3eDeviceSetInt
0x00002abf s3eFileGetChar
0x00002ace s3ePointerUpdate
0x00002adf s3eSocketGetInt
0x00002aef s3ePointerGetInt
0x00002b00 s3eAccelerometerStart
0x00002b16 glGetString
0x00002b22 glRotatef
0x00002b2c s3eTimerGetMs
0x00002b3a glVertexPointer
0x00002b4a glCompressedTexSubImage3D
0x00002b64 glLightxv
0x00002b6e glTexSubImage2D
0x00002b7e s3eCompressionDecompInit
0x00002b97 glShadeModel
0x00002ba4 s3eTimerGetLocaltimeOffset
