000014ea	s_tDeviceExtension.so;libs3eSmartF_000014ea	ds "tDeviceExtension.so;libs3eSmartFox.so;libs3eObbGui.so\"\n"	s_tDeviceExtension.so;libs3eSmartF_000014ea
00001d1a		ds "glUniformMatrix2x4fv"	s_glUniformMatrix2x4fv_00001d1a
00001d2f		ds "s3eSocketGetError"	s_s3eSocketGetError_00001d2f
00001d41		ds "glScissor"	s_glScissor_00001d41
00001d4b		ds "glGenBuffers"	s_glGenBuffers_00001d4b
00001d58		ds "s3eConfigGetString"	s_s3eConfigGetString_00001d58
00001d6b		ds "glClearColor"	s_glClearColor_00001d6b
00001d78		ds "glMultiTexCoord4f"	s_glMultiTexCoord4f_00001d78
00001d8a		ds "s3eFileMakeDirectory"	s_s3eFileMakeDirectory_00001d8a
00001d9f		ds "glClientActiveTexture"	s_glClientActiveTexture_00001d9f
00001db5		ds "s3eDeviceBacklightOn"	s_s3eDeviceBacklightOn_00001db5
00001dca		ds "glGenTextures"	s_glGenTextures_00001dca
00001dd8		ds "s3eMemorySetInt"	s_s3eMemorySetInt_00001dd8
00001de8		ds "s3eMemoryGetInt"	s_s3eMemoryGetInt_00001de8
00001df8		ds "s3eFileListClose"	s_s3eFileListClose_00001df8
00001e09		ds "glGetQueryiv"	s_glGetQueryiv_00001e09
00001e16		ds "glCompressedTexSubImage2D"	s_glCompressedTexSubImage2D_00001e16
00001e30		ds "glCompressedTexImage3D"	s_glCompressedTexImage3D_00001e30
00001e47		ds "s3eFileAddUserFileSys"	s_s3eFileAddUserFileSys_00001e47
00001e5d		ds "s3eSurfaceUnRegister"	s_s3eSurfaceUnRegister_00001e5d
00001e72		ds "glGetUniformLocation"	s_glGetUniformLocation_00001e72
00001e87		ds "glRenderbufferStorageMultisample"	s_glRenderbufferStorageMultisample_00001e87
00001ea8		ds "s3eSurfaceSetInt"	s_s3eSurfaceSetInt_00001ea8
00001eb9		ds "s3eAudioPlayFromBuffer"	s_s3eAudioPlayFromBuffer_00001eb9
00001ed0		ds "glClearDepthx"	s_glClearDepthx_00001ed0
00001ede		ds "eglMakeCurrent"	s_eglMakeCurrent_00001ede
00001eed		ds "glUniform2uiv"	s_glUniform2uiv_00001eed
00001efb		ds "glGetShaderSource"	s_glGetShaderSource_00001efb
00001f0d		ds "s3eVideoRegister"	s_s3eVideoRegister_00001f0d
00001f1e		ds "eglGetProcAddress"	s_eglGetProcAddress_00001f1e
00001f30		ds "s3eDebugErrorShow"	s_s3eDebugErrorShow_00001f30
00001f42		ds "glMultMatrixf"	s_glMultMatrixf_00001f42
00001f50		ds "glUniform2fv"	s_glUniform2fv_00001f50
00001f5d		ds "s3eVideoUnRegister"	s_s3eVideoUnRegister_00001f5d
00001f70		ds "glShaderBinary"	s_glShaderBinary_00001f70
00001f7f		ds "eglDestroySurface"	s_eglDestroySurface_00001f7f
00001f91		ds "glUniform3fv"	s_glUniform3fv_00001f91
00001f9e		ds "s3eSocketWritable"	s_s3eSocketWritable_00001f9e
00001fb0		ds "glUniform1i"	s_glUniform1i_00001fb0
00001fbc		ds "s3eConfigGetInt"	s_s3eConfigGetInt_00001fbc
00001fcc		ds "glLineWidth"	s_glLineWidth_00001fcc
00001fd8		ds "eglGetConfigAttrib"	s_eglGetConfigAttrib_00001fd8
00001feb		ds "s3eFileCheckExists"	s_s3eFileCheckExists_00001feb
00001ffe		ds "glActiveTexture"	s_glActiveTexture_00001ffe
0000200e		ds "glBindImageTexture"	s_glBindImageTexture_0000200e
00002021		ds "glDrawArrays"	s_glDrawArrays_00002021
0000202e		ds "glIsEnabled"	s_glIsEnabled_0000202e
0000203a		ds "s3eSocketClose"	s_s3eSocketClose_0000203a
00002049		ds "glStencilOpSeparate"	s_glStencilOpSeparate_00002049
